vdd,delay,dp,sp
1.100000e+00,2.581676e-10,8.832018e-05,2.180273e-08
1.050000e+00,2.713275e-10,7.556263e-05,1.689603e-08
1.000000e+00,2.872559e-10,6.400712e-05,1.290920e-08
9.500000e-01,3.068296e-10,5.359162e-05,9.705906e-09
9.000000e-01,3.313542e-10,4.422481e-05,7.170422e-09
8.500000e-01,3.627709e-10,3.583920e-05,5.199163e-09
8.000000e-01,4.042586e-10,2.835399e-05,3.699115e-09
7.500000e-01,4.612850e-10,2.171569e-05,2.586745e-09
7.000000e-01,5.440147e-10,1.590931e-05,1.787030e-09
6.500000e-01,6.731958e-10,1.095533e-05,1.232673e-09
6.000000e-01,8.974367e-10,6.909263e-06,8.634960e-10
5.500000e-01,1.353505e-09,3.795460e-06,6.261647e-10
5.000000e-01,2.532578e-09,1.650786e-06,4.742334e-10
4.500000e-01,6.668715e-09,4.988852e-07,3.695333e-10
4.000000e-01,2.468911e-08,1.035139e-07,2.875251e-10
3.500000e-01,1.068931e-07,1.763513e-08,2.191888e-10
3.000000e-01,4.752178e-07,2.903873e-09,1.621879e-10
2.500000e-01,2.071012e-06,5.397915e-10,1.150782e-10
2.000000e-01,8.675553e-06,1.380002e-10,7.697854e-11
