vdd,delay,dp,sp
1.100000e+00,5.873304e-10,8.128115e-05,1.024129e-08
1.050000e+00,6.155599e-10,6.352867e-05,7.996221e-09
1.000000e+00,6.495813e-10,5.347490e-05,6.359324e-09
9.500000e-01,6.912240e-10,4.464177e-05,5.025386e-09
9.000000e-01,7.431075e-10,3.673162e-05,3.942205e-09
8.500000e-01,8.091494e-10,2.968056e-05,3.071407e-09
8.000000e-01,8.955344e-10,2.343892e-05,2.379254e-09
7.500000e-01,1.012632e-09,1.796243e-05,1.835835e-09
7.000000e-01,1.178941e-09,1.323230e-05,1.414629e-09
6.500000e-01,1.430082e-09,9.244055e-06,1.092136e-09
6.000000e-01,1.842283e-09,5.996345e-06,8.475761e-10
5.500000e-01,2.602759e-09,3.488387e-06,6.626811e-10
5.000000e-01,4.270773e-09,1.714666e-06,5.216697e-10
4.500000e-01,8.993966e-09,6.422888e-07,4.114365e-10
4.000000e-01,2.713003e-08,1.625478e-07,3.220425e-10
3.500000e-01,1.108118e-07,2.922220e-08,2.473600e-10
3.000000e-01,5.052244e-07,4.645778e-09,1.846529e-10
2.500000e-01,2.306526e-06,7.946250e-10,1.320977e-10
2.000000e-01,1.013324e-05,1.817775e-10,8.922942e-11
