vdd,delay,dp,sp
1.100000e+00,1.158372e-11,1.175867e-05,6.653358e-10
1.050000e+00,1.233577e-11,9.760174e-06,5.061827e-10
1.000000e+00,1.333609e-11,8.088628e-06,3.778208e-10
9.500000e-01,1.462928e-11,6.701705e-06,2.756075e-10
9.000000e-01,1.628990e-11,5.556657e-06,1.956067e-10
8.500000e-01,1.850293e-11,4.602074e-06,1.343043e-10
8.000000e-01,2.127283e-11,3.801887e-06,8.855403e-11
7.500000e-01,2.450878e-11,3.116931e-06,5.553831e-11
7.000000e-01,2.833273e-11,2.533839e-06,3.273348e-11
6.500000e-01,3.281056e-11,2.032079e-06,1.788086e-11
6.000000e-01,3.801781e-11,1.585569e-06,8.965383e-12
5.500000e-01,4.418290e-11,1.172257e-06,4.206027e-12
5.000000e-01,5.168342e-11,7.730227e-07,2.062107e-12
4.500000e-01,6.782529e-11,3.878912e-07,1.265807e-12
4.000000e-01,1.317131e-10,1.192388e-07,9.395246e-13
3.500000e-01,4.458204e-10,2.414731e-08,7.186174e-13
3.000000e-01,2.021918e-09,4.096597e-09,5.376353e-13
2.500000e-01,9.817980e-09,6.471121e-10,3.883977e-13
2.000000e-01,4.766026e-08,9.630342e-11,2.670624e-13
