vdd,delay,dp,sp
1.100000e+00,1.007015e-11,1.036385e-05,7.809857e-10
1.050000e+00,1.076069e-11,8.497541e-06,5.925323e-10
1.000000e+00,1.170169e-11,6.953978e-06,4.405245e-10
9.500000e-01,1.292693e-11,5.704999e-06,3.196875e-10
9.000000e-01,1.448778e-11,4.694619e-06,2.253561e-10
8.500000e-01,1.667346e-11,3.872590e-06,1.533423e-10
8.000000e-01,1.946926e-11,3.191932e-06,9.988315e-11
7.500000e-01,2.277411e-11,2.617453e-06,6.159654e-11
7.000000e-01,2.668652e-11,2.127681e-06,3.544325e-11
6.500000e-01,3.120950e-11,1.703445e-06,1.869501e-11
6.000000e-01,3.649115e-11,1.339631e-06,8.911516e-12
5.500000e-01,4.275949e-11,1.003936e-06,3.928909e-12
5.000000e-01,5.027337e-11,6.737284e-07,1.863520e-12
4.500000e-01,6.536001e-11,3.420832e-07,1.172788e-12
4.000000e-01,1.278934e-10,1.051485e-07,8.834026e-13
3.500000e-01,4.346109e-10,2.126375e-08,6.751983e-13
3.000000e-01,1.963872e-09,3.615432e-09,5.038012e-13
2.500000e-01,9.486612e-09,5.727667e-10,3.629433e-13
2.000000e-01,4.570316e-08,8.553524e-11,2.488945e-13
