vdd,delay,dp,sp
1.300000e+00,5.370453e-10,1.001886e-04,1.396969e-08
1.250000e+00,5.733070e-10,8.658389e-05,9.990528e-09
1.200000e+00,6.165496e-10,7.405247e-05,7.302518e-09
1.150000e+00,6.688380e-10,6.256532e-05,5.337420e-09
1.100000e+00,7.335856e-10,5.208513e-05,3.878826e-09
1.000000e+00,9.230649e-10,3.405432e-05,1.995435e-09
9.000000e-01,1.274783e-09,1.984638e-05,9.798963e-10
8.000000e-01,2.089466e-09,9.481250e-06,4.531724e-10
7.500000e-01,2.988683e-09,5.794354e-06,3.000019e-10
7.000000e-01,4.786937e-09,3.132235e-06,1.951407e-10
6.500000e-01,8.855402e-09,1.451700e-06,1.278517e-10
6.000000e-01,1.918440e-08,5.697863e-07,9.044831e-11
5.500000e-01,4.760969e-08,1.930666e-07,7.004835e-11
5.000000e-01,1.305223e-07,5.834454e-08,5.583143e-11
4.500000e-01,3.857983e-07,1.605203e-08,4.421468e-11
4.000000e-01,1.209506e-06,4.075204e-09,3.443241e-11
3.500000e-01,3.936389e-06,9.769672e-10,2.620624e-11
3.000000e-01,1.299023e-05,2.306215e-10,1.934776e-11
