vdd,delay,dp,sp
1.100000e+00,1.319555e-09,1.992981e-05,6.581454e-08
1.000000e+00,1.837216e-09,1.163847e-05,3.255044e-08
9.000000e-01,2.986965e-09,5.687246e-06,1.387298e-08
8.000000e-01,6.593406e-09,1.994821e-06,4.181451e-09
7.500000e-01,1.190528e-08,9.649634e-07,1.641935e-09
7.000000e-01,2.544040e-08,3.930015e-07,4.614918e-10
6.500000e-01,6.379959e-08,1.357052e-07,1.507517e-10
6.000000e-01,1.807333e-07,4.115351e-08,8.124677e-11
5.500000e-01,5.596122e-07,1.131805e-08,5.350551e-11
5.000000e-01,1.858199e-06,2.879169e-09,3.595712e-11
4.500000e-01,6.494580e-06,6.944359e-10,2.358594e-11
4.000000e-01,2.338802e-05,1.650384e-10,1.487368e-11
3.500000e-01,8.508439e-05,4.101593e-11,8.891972e-12
3.000000e-01,3.068742e-04,1.139786e-11,4.927984e-12
