vdd,delay,dp,sp
1.100000e+00,2.240897e-11,3.414099e-05,9.584812e-10
1.000000e+00,2.849657e-11,2.136591e-05,4.544411e-10
9.000000e-01,4.127396e-11,1.153309e-05,1.891691e-10
8.000000e-01,7.636376e-11,4.797723e-06,5.977237e-11
7.500000e-01,1.217603e-10,2.623830e-06,2.613957e-11
7.000000e-01,2.261594e-10,1.220802e-06,8.279992e-12
6.500000e-01,4.965216e-10,4.765645e-07,2.377286e-12
6.000000e-01,1.256065e-09,1.595764e-07,1.141833e-12
5.500000e-01,3.521198e-09,4.775318e-08,8.266743e-13
5.000000e-01,1.066655e-08,1.310444e-08,6.543184e-13
4.500000e-01,3.445386e-08,3.326558e-09,5.178508e-13
4.000000e-01,1.163976e-07,7.888049e-10,4.022689e-13
3.500000e-01,4.027218e-07,1.767802e-10,3.040810e-13
3.000000e-01,1.400965e-06,3.769110e-11,2.215254e-13
