vdd,delay,dp,sp
1.100000e+00,7.606242e-10,3.624404e-05,2.496112e-09
1.000000e+00,9.699681e-10,2.313441e-05,1.248740e-09
9.000000e-01,1.367475e-09,1.305268e-05,5.792760e-10
8.000000e-01,2.312677e-09,5.970790e-06,2.377200e-10
7.500000e-01,3.375267e-09,3.558157e-06,1.412261e-10
7.000000e-01,5.523437e-09,1.878092e-06,7.728290e-11
6.500000e-01,1.041649e-08,8.556869e-07,3.846427e-11
6.000000e-01,2.281274e-08,3.340618e-07,1.988459e-11
5.500000e-01,5.682676e-08,1.136441e-07,1.326376e-11
5.000000e-01,1.560974e-07,3.456768e-08,1.037102e-11
4.500000e-01,4.619867e-07,9.592566e-09,8.330548e-12
4.000000e-01,1.444083e-06,2.469798e-09,6.646401e-12
3.500000e-01,4.658942e-06,6.017461e-10,5.223954e-12
3.000000e-01,1.515565e-05,1.420195e-10,4.022407e-12
