vdd,delay,dp,sp
1.100000e+00,3.190988e-11,6.866351e-05,8.327320e-11
1.000000e+00,3.818146e-11,4.593610e-05,4.083512e-11
9.000000e-01,4.981562e-11,2.765284e-05,1.935670e-11
8.000000e-01,7.571942e-11,1.402247e-05,8.893579e-12
7.500000e-01,1.029142e-10,9.040356e-06,5.988288e-12
7.000000e-01,1.548475e-10,5.222289e-06,4.037557e-12
6.500000e-01,2.666004e-10,2.601429e-06,2.771812e-12
6.000000e-01,5.377332e-10,1.094720e-06,2.037855e-12
5.500000e-01,1.257482e-09,3.927167e-07,1.626258e-12
5.000000e-01,3.288394e-09,1.241361e-07,1.331571e-12
4.500000e-01,9.336555e-09,3.558477e-08,1.083103e-12
4.000000e-01,2.838095e-08,9.345106e-09,8.668726e-13
3.500000e-01,9.043943e-08,2.272632e-09,6.790793e-13
3.000000e-01,2.953882e-07,5.172833e-10,5.173906e-13
