vdd,delay,dp,sp
1.100000e+00,3.606092e-10,2.041958e-05,4.208232e-09
1.000000e+00,4.890658e-10,1.227394e-05,2.091858e-09
9.000000e-01,7.616050e-10,6.277043e-06,9.225318e-10
8.000000e-01,1.543290e-09,2.404135e-06,3.187646e-10
7.500000e-01,2.590987e-09,1.250882e-06,1.516518e-10
7.000000e-01,5.038679e-09,5.594295e-07,5.274970e-11
6.500000e-01,1.138880e-08,2.143344e-07,1.233641e-11
6.000000e-01,2.918687e-08,7.180431e-08,3.218148e-12
5.500000e-01,8.221242e-08,2.160768e-08,1.623647e-12
5.000000e-01,2.489755e-07,5.959002e-09,1.155260e-12
4.500000e-01,7.957127e-07,1.529990e-09,8.793827e-13
4.000000e-01,2.628282e-06,3.720031e-10,6.697485e-13
3.500000e-01,8.791717e-06,8.699966e-11,5.032923e-13
3.000000e-01,2.926511e-05,1.984384e-11,3.707719e-13
