vdd,delay,dp,sp
1.100000e+00,6.409815e-10,1.877170e-05,3.198812e-08
1.000000e+00,8.925878e-10,1.096661e-05,1.582981e-08
9.000000e-01,1.450811e-09,5.359742e-06,6.749420e-09
8.000000e-01,3.198807e-09,1.877259e-06,2.033762e-09
7.500000e-01,5.768876e-09,9.073804e-07,7.980202e-10
7.000000e-01,1.230708e-08,3.693796e-07,2.245833e-10
6.500000e-01,3.080490e-08,1.275217e-07,7.380427e-11
6.000000e-01,8.710486e-08,3.864487e-08,3.990995e-11
5.500000e-01,2.692855e-07,1.060585e-08,2.628697e-11
5.000000e-01,8.931246e-07,2.683493e-09,1.765188e-11
4.500000e-01,3.118997e-06,6.388106e-10,1.156555e-11
4.000000e-01,1.122766e-05,1.470486e-10,7.282568e-12
3.500000e-01,4.084508e-05,3.403306e-11,4.345064e-12
3.000000e-01,1.474591e-04,8.319331e-12,2.401191e-12
