vdd,delay,dp,sp
1.100000e+00,1.570389e-09,2.423799e-05,1.804757e-08
1.000000e+00,2.124619e-09,1.456813e-05,8.937227e-09
9.000000e-01,3.298745e-09,7.455512e-06,3.923277e-09
8.000000e-01,6.655453e-09,2.863028e-06,1.345831e-09
7.500000e-01,1.114119e-08,1.492984e-06,6.357906e-10
7.000000e-01,2.160145e-08,6.694978e-07,2.187252e-10
6.500000e-01,4.872591e-08,2.570355e-07,5.057403e-11
6.000000e-01,1.248035e-07,8.624318e-08,1.303905e-11
5.500000e-01,3.515636e-07,2.601134e-08,6.572724e-12
5.000000e-01,1.064766e-06,7.199571e-09,4.696953e-12
4.500000e-01,3.403724e-06,1.858273e-09,3.586745e-12
4.000000e-01,1.125059e-05,4.554660e-10,2.738447e-12
3.500000e-01,3.767982e-05,1.081599e-10,2.061707e-12
3.000000e-01,1.256375e-04,2.557788e-11,1.520614e-12
