vdd,delay,dp,sp
1.100000e+00,9.442665e-10,4.391626e-05,7.138294e-10
1.000000e+00,1.180711e-09,2.856226e-05,3.721372e-10
9.000000e-01,1.615566e-09,1.658637e-05,1.903003e-10
8.000000e-01,2.594640e-09,7.978260e-06,9.595019e-11
7.500000e-01,3.635838e-09,4.945036e-06,6.808113e-11
7.000000e-01,5.635437e-09,2.749279e-06,4.854254e-11
6.500000e-01,9.946641e-09,1.333783e-06,3.513246e-11
6.000000e-01,2.034340e-08,5.556259e-07,2.654303e-11
5.500000e-01,4.774015e-08,2.003969e-07,2.139260e-11
5.000000e-01,1.247909e-07,6.403990e-08,1.782703e-11
4.500000e-01,3.539769e-07,1.852951e-08,1.485299e-11
4.000000e-01,1.068272e-06,4.934673e-09,1.223954e-11
3.500000e-01,3.353827e-06,1.234160e-09,9.928834e-12
3.000000e-01,1.068423e-05,2.969175e-10,7.888718e-12
