vdd,delay,dp,sp
1.100000e+00,1.088655e-10,1.748867e-04,8.875409e-08
1.000000e+00,1.203218e-10,1.267093e-04,5.634577e-08
9.000000e-01,1.371374e-10,8.769321e-05,3.739360e-08
8.000000e-01,1.636749e-10,5.686190e-05,2.503212e-08
7.500000e-01,1.833740e-10,4.422012e-05,2.044344e-08
7.000000e-01,2.103879e-10,3.330802e-05,1.665055e-08
6.500000e-01,2.492867e-10,2.405061e-05,1.351213e-08
6.000000e-01,3.089447e-10,1.641063e-05,1.091542e-08
5.500000e-01,4.081766e-10,1.035818e-05,8.768646e-09
5.000000e-01,5.910089e-10,5.872971e-06,6.996146e-09
4.500000e-01,9.715230e-10,2.884246e-06,5.535435e-09
4.000000e-01,1.868950e-09,1.189792e-06,4.336366e-09
3.500000e-01,4.207992e-09,4.103651e-07,3.356531e-09
3.000000e-01,1.069401e-08,1.217904e-07,2.551706e-09
