vdd,delay,dp,sp
1.100000e+00,9.011352e-12,2.677876e-04,4.296264e-08
1.000000e+00,9.505357e-12,2.034219e-04,2.491864e-08
9.000000e-01,1.020735e-11,1.476272e-04,1.471110e-08
8.000000e-01,1.128494e-11,1.004791e-04,8.696575e-09
7.500000e-01,1.208167e-11,8.017290e-05,6.665009e-09
7.000000e-01,1.318102e-11,6.207154e-05,5.088886e-09
6.500000e-01,1.478449e-11,4.619601e-05,3.866598e-09
6.000000e-01,1.726344e-11,3.261032e-05,2.920304e-09
5.500000e-01,2.138446e-11,2.136814e-05,2.189716e-09
5.000000e-01,2.888924e-11,1.260609e-05,1.627763e-09
4.500000e-01,4.431064e-11,6.412443e-06,1.197531e-09
4.000000e-01,8.051053e-11,2.692991e-06,8.701048e-10
3.500000e-01,1.756664e-10,9.145488e-07,6.226284e-10
3.000000e-01,4.450119e-10,2.574066e-07,4.365747e-10
