vdd,delay,dp,sp
1.100000e+00,1.361373e-10,1.950802e-04,1.139269e-05
1.000000e+00,1.563139e-10,1.325433e-04,3.892484e-06
9.000000e-01,1.854982e-10,8.763213e-05,1.339593e-06
8.000000e-01,2.322551e-10,5.451193e-05,4.794337e-07
7.500000e-01,2.681959e-10,4.135258e-05,2.931665e-07
7.000000e-01,3.198826e-10,3.014919e-05,1.820009e-07
6.500000e-01,3.996677e-10,2.077931e-05,1.144607e-07
6.000000e-01,5.352116e-10,1.320577e-05,7.263983e-08
5.500000e-01,7.952092e-10,7.466209e-06,4.629313e-08
5.000000e-01,1.366384e-09,3.594965e-06,2.947711e-08
4.500000e-01,2.799140e-09,1.428264e-06,1.866337e-08
4.000000e-01,6.767733e-09,4.722728e-07,1.169531e-08
3.500000e-01,1.848208e-08,1.362117e-07,7.219934e-09
3.000000e-01,5.468156e-08,3.632069e-08,4.367705e-09
