vdd,delay,dp,sp
1.100000e+00,3.094754e-10,9.744004e-05,6.738476e-07
1.000000e+00,3.582337e-10,6.651732e-05,2.836861e-07
9.000000e-01,4.315327e-10,4.339960e-05,1.265436e-07
8.000000e-01,5.533067e-10,2.622473e-05,5.951834e-08
7.500000e-01,6.497317e-10,1.947784e-05,4.146189e-08
7.000000e-01,7.913440e-10,1.383137e-05,2.908976e-08
6.500000e-01,1.015098e-09,9.235559e-06,2.049550e-08
6.000000e-01,1.403371e-09,5.661343e-06,1.445732e-08
5.500000e-01,2.159590e-09,3.081354e-06,1.018147e-08
5.000000e-01,3.834632e-09,1.437471e-06,7.146297e-09
4.500000e-01,8.016393e-09,5.634538e-07,4.991731e-09
4.000000e-01,1.942669e-08,1.880834e-07,3.454907e-09
3.500000e-01,5.238753e-08,5.577255e-08,2.357627e-09
3.000000e-01,1.511202e-07,1.549443e-08,1.577705e-09
