1.100000e+00	1.038381e-10	2.433716e-04	7.319222e-05
1.000000e+00	1.189084e-10	1.420138e-04	2.282332e-05
9.000000e-01	1.406848e-10	8.674908e-05	7.056141e-06
8.000000e-01	1.749627e-10	5.216826e-05	2.244413e-06
7.500000e-01	2.007468e-10	3.939215e-05	1.285967e-06
7.000000e-01	2.368884e-10	2.882060e-05	7.439655e-07
6.500000e-01	2.909119e-10	2.012973e-05	4.334898e-07
6.000000e-01	3.789319e-10	1.313316e-05	2.535386e-07
5.500000e-01	5.391171e-10	7.753682e-06	1.483044e-07
5.000000e-01	8.715540e-10	3.973067e-06	8.645056e-08
4.500000e-01	1.665556e-09	1.698212e-06	5.005435e-08
4.000000e-01	3.791930e-09	6.008565e-07	2.868580e-08
3.500000e-01	9.941575e-09	1.831176e-07	1.620849e-08
3.000000e-01	2.864413e-08	5.141242e-08	8.985657e-09
