vdd,delay,dp,sp
1.100000e+00,7.623455e-10,4.360110e-04,8.804929e-05
1.050000e+00,7.762971e-10,1.244082e-04,5.533672e-06
1.000000e+00,7.896021e-10,9.489474e-05,2.288957e-06
9.500000e-01,8.056230e-10,8.019370e-05,1.853397e-06
9.000000e-01,8.253633e-10,6.753048e-05,1.552490e-06
8.500000e-01,8.497474e-10,5.624499e-05,1.296284e-06
8.000000e-01,8.800185e-10,4.624733e-05,1.076876e-06
7.500000e-01,9.178850e-10,3.746663e-05,8.895422e-07
7.000000e-01,9.658310e-10,2.982973e-05,7.301674e-07
6.500000e-01,1.027605e-09,2.326260e-05,5.951079e-07
6.000000e-01,1.109137e-09,1.769163e-05,4.811415e-07
5.500000e-01,1.220297e-09,1.304118e-05,3.854238e-07
5.000000e-01,1.378552e-09,9.234067e-06,3.054488e-07
4.500000e-01,1.617747e-09,6.193127e-06,2.390136e-07
4.000000e-01,2.010308e-09,3.848491e-06,1.841861e-07
3.500000e-01,2.735413e-09,2.137581e-06,1.392766e-07
3.000000e-01,4.326465e-09,1.002988e-06,1.028129e-07
2.500000e-01,8.765801e-09,3.725666e-07,7.352043e-08
2.000000e-01,2.472566e-08,1.142940e-07,5.031344e-08
