vdd,delay,dp,sp
1.100000e+00,7.554446e-12,3.246043e-05,1.418660e-08
1.050000e+00,7.708418e-12,2.759811e-05,1.061001e-08
1.000000e+00,7.885669e-12,2.318704e-05,8.890065e-09
9.500000e-01,8.088076e-12,1.921937e-05,7.468365e-09
9.000000e-01,8.330680e-12,1.569252e-05,6.248476e-09
8.500000e-01,8.620666e-12,1.259757e-05,5.203032e-09
8.000000e-01,8.981704e-12,9.921276e-06,4.310278e-09
7.500000e-01,9.442283e-12,7.651569e-06,3.550900e-09
7.000000e-01,1.005872e-11,5.771233e-06,2.907666e-09
6.500000e-01,1.092144e-11,4.261312e-06,2.365215e-09
6.000000e-01,1.217694e-11,3.090650e-06,1.909873e-09
5.500000e-01,1.399672e-11,2.212878e-06,1.529487e-09
5.000000e-01,1.656197e-11,1.570048e-06,1.213281e-09
4.500000e-01,2.022982e-11,1.101678e-06,9.517284e-10
4.000000e-01,2.560692e-11,7.602783e-07,7.364512e-10
3.500000e-01,3.291591e-11,5.071552e-07,5.601409e-10
3.000000e-01,4.271861e-11,3.044284e-07,4.165033e-10
2.500000e-01,5.801632e-11,1.384946e-07,3.002309e-10
2.000000e-01,1.161721e-10,3.891382e-08,2.069818e-10
