vdd,delay,dp,sp
1.100000e+00,1.027440e-11,3.270127e-05,3.715058e-08
1.050000e+00,1.046340e-11,2.797455e-05,1.096273e-08
1.000000e+00,1.068344e-11,2.368041e-05,8.560903e-09
9.500000e-01,1.093872e-11,1.981180e-05,7.220376e-09
9.000000e-01,1.124665e-11,1.635978e-05,6.085766e-09
8.500000e-01,1.161714e-11,1.331680e-05,5.105942e-09
8.000000e-01,1.207502e-11,1.066982e-05,4.261691e-09
7.500000e-01,1.264883e-11,8.405618e-06,3.536778e-09
7.000000e-01,1.339167e-11,6.501693e-06,2.916682e-09
6.500000e-01,1.438471e-11,4.940178e-06,2.388404e-09
6.000000e-01,1.575719e-11,3.691123e-06,1.940323e-09
5.500000e-01,1.766830e-11,2.715923e-06,1.562067e-09
5.000000e-01,2.029347e-11,1.968035e-06,1.244398e-09
4.500000e-01,2.401520e-11,1.400450e-06,9.791041e-10
4.000000e-01,2.930428e-11,9.726411e-07,7.589108e-10
3.500000e-01,3.642949e-11,6.422766e-07,5.773993e-10
3.000000e-01,4.601243e-11,3.743000e-07,4.289413e-10
2.500000e-01,6.294023e-11,1.658683e-07,3.086395e-10
2.000000e-01,1.293144e-10,4.537505e-08,2.122673e-10
