vdd,delay,dp,sp
1.100000e+00,8.848298e-12,3.356047e-05,1.884744e-08
1.050000e+00,9.021290e-12,2.862404e-05,1.109699e-08
1.000000e+00,9.217343e-12,2.414918e-05,9.171442e-09
9.500000e-01,9.449694e-12,2.012033e-05,7.709731e-09
9.000000e-01,9.724279e-12,1.653301e-05,6.459562e-09
8.500000e-01,1.005549e-11,1.338118e-05,5.386846e-09
8.000000e-01,1.046260e-11,1.063503e-05,4.469325e-09
7.500000e-01,1.097715e-11,8.299473e-06,3.687480e-09
7.000000e-01,1.165284e-11,6.350111e-06,3.023916e-09
6.500000e-01,1.257271e-11,4.766024e-06,2.463136e-09
6.000000e-01,1.386875e-11,3.515032e-06,1.991354e-09
5.500000e-01,1.570782e-11,2.556762e-06,1.596331e-09
5.000000e-01,1.828036e-11,1.836774e-06,1.267215e-09
4.500000e-01,2.199794e-11,1.300279e-06,9.944198e-10
4.000000e-01,2.733893e-11,9.006504e-07,7.695068e-10
3.500000e-01,3.457855e-11,6.004488e-07,5.851011e-10
3.000000e-01,4.426065e-11,3.564093e-07,4.348251e-10
2.500000e-01,6.021383e-11,1.613661e-07,3.132468e-10
2.000000e-01,1.216731e-10,4.519493e-08,2.158354e-10
